setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,sub,resp,respRT,conf,confRT
2,102,8,3,4,0.5,4,8,4,1,5,0,NaN,0
1,78,,3,,0.5,3,78,2,1,NaN,0,1,0.430943965911865
2,4,100,1,3,0.5,1,4,4,1,2,1.40900301933289,1,1.08743381500244
2,352,102,1,3,0.5,3,102,3,1,NaN,0,1,0.863308906555176
2,348,10,1,4,0.8,4,10,4,1,NaN,0,1,0.271352052688599
2,78,350,3,4,0.8,1,NaN,5,1,5,0,3,1.11962294578552
1,14,,1,,0.5,2,NaN,5,1,1,1.42563486099243,3,0.655769824981689
1,82,,2,,0.5,1,NaN,5,1,5,1.24986600875854,3,0.544162034988403
1,346,,3,,0.8,3,346,1,1,1,1.12190914154053,3,0.528249025344849
1,8,,4,,0.8,4,8,4,1,4,0.738075971603394,3,0.528523921966553
2,10,80,3,4,0.8,3,10,4,1,NaN,0,1,1.48605704307556
1,102,,1,,0.5,1,102,3,1,2,1.28254413604736,1,0.928642988204956
1,100,,2,,0.5,2,100,3,1,3,0.770462989807129,3,1.07249402999878
2,82,356,3,4,0.8,3,82,2,1,NaN,0,1,0.321065187454224
2,4,348,2,3,0.5,2,4,4,1,1,1.18712592124939,NaN,0
2,8,84,2,4,0.8,4,84,2,1,3,1.37891793251038,1,0.721085071563721
2,80,6,1,4,0.5,2,NaN,5,1,5,0,3,0.561232089996338
2,104,12,2,3,0.5,1,NaN,5,1,5,0,3,0.865397930145264
2,86,354,2,4,0.5,3,NaN,5,1,5,0,NaN,0
1,12,,1,,0.5,1,12,4,1,NaN,0,1,1.40961813926697
1,346,,1,,0.5,3,NaN,5,1,5,0,3,0.641950130462646
2,100,8,2,4,0.5,3,NaN,5,1,5,0,2,0.850270986557007
2,100,100,1,4,0.5,3,NaN,5,1,5,0,2,0.594296932220459
2,80,4,1,3,0.8,2,NaN,5,1,5,0,2,0.498234987258911
2,352,346,1,2,0.8,1,352,1,1,1,0.320060968399048,2,1.23365187644958
1,80,,1,,0.8,1,80,2,1,2,0.987107038497925,2,1.04894495010376
1,10,,4,,0.5,4,10,4,1,3,1.03525805473328,1,1.16111612319946
2,346,352,2,3,0.5,2,346,1,1,NaN,0,NaN,0
1,12,,4,,0.5,2,NaN,5,1,5,0,3,0.4096519947052
1,98,,3,,0.8,3,98,3,1,2,1.09975814819336,NaN,0
2,352,346,3,4,0.5,1,NaN,5,1,5,0,3,0.458066940307617
2,12,98,3,4,0.8,2,NaN,5,1,5,0,3,0.634280204772949
1,80,,1,,0.8,4,NaN,5,1,5,0,3,0.63432502746582
2,102,94,1,3,0.8,1,102,3,1,2,1.2764151096344,1,1.22637104988098
2,12,14,1,4,0.5,4,14,4,1,4,0.784743070602417,2,0.522329092025757
1,94,,3,,0.8,4,NaN,5,1,1,0.928645133972168,3,0.810734033584595
1,78,,4,,0.5,3,NaN,5,1,5,0,3,0.522706985473633
2,102,4,1,3,0.5,4,NaN,5,1,5,0,2,0.570941925048828
1,12,,1,,0.8,4,NaN,5,1,5,0,2,0.667237043380737
2,102,86,2,4,0.8,3,NaN,5,1,5,0,3,0.443351030349731
1,100,,4,,0.8,4,100,3,1,3,0.673542022705078,3,0.379206895828247
1,352,,2,,0.5,1,NaN,5,1,5,1.21754503250122,2,0.987417936325073
2,104,100,2,4,0.5,1,NaN,5,1,1,1.13774085044861,2,0.811918020248413
2,356,354,2,3,0.8,2,356,1,1,4,1.15391111373901,1,1.46773195266724
2,348,14,1,3,0.8,1,348,1,1,4,1.47415709495544,3,1.49495100975037
2,350,102,1,4,0.5,4,102,3,1,NaN,0,1,0.284212827682495
1,4,,4,,0.5,4,4,4,1,3,1.01066303253174,1,1.22830986976624
1,12,,1,,0.5,1,12,4,1,3,1.48959708213806,1,1.49536895751953
1,350,,1,,0.8,4,NaN,5,1,1,0.512215852737427,3,0.637219905853271
2,356,94,1,4,0.8,2,NaN,5,1,5,1.15893387794495,3,0.629204988479614
1,98,,2,,0.5,2,98,3,1,NaN,0,1,0.277408123016357
1,12,,2,,0.8,4,NaN,5,1,NaN,0,3,0.373398065567017
2,12,8,1,3,0.8,4,NaN,5,1,1,1.14342904090881,1,0.725755929946899
1,104,,2,,0.8,2,104,3,1,3,0.871577978134155,3,0.837508916854858
2,10,84,1,4,0.8,3,NaN,5,1,5,0,3,0.518062114715576
2,86,80,2,3,0.5,4,NaN,5,1,5,0,2,0.710073947906494
2,12,346,1,3,0.8,4,NaN,5,1,1,1.16007208824158,2,1.28624606132507
2,98,78,3,4,0.5,1,NaN,5,1,5,1.12811994552612,3,0.582288026809692
2,10,82,1,3,0.8,4,NaN,5,1,5,0,2,1.06235885620117
2,352,78,3,4,0.5,1,NaN,5,1,5,0,2,0.886593103408813
1,86,,1,,0.8,1,86,2,1,2,1.12883901596069,3,0.935012102127075
1,78,,2,,0.8,3,NaN,5,1,1,1.11275196075439,2,0.839225053787231
1,14,,1,,0.5,4,NaN,5,1,1,1.06514501571655,2,0.695391178131104
1,356,,3,,0.5,4,NaN,5,1,5,0,3,1.23941612243652
1,8,,3,,0.5,3,8,4,1,1,1.03336787223816,NaN,0
1,98,,1,,0.5,4,NaN,5,1,1,0.905445098876953,3,0.775588035583496
2,8,84,2,3,0.5,3,84,2,1,NaN,0,1,0.279952049255371
1,76,,3,,0.8,2,NaN,5,1,5,1.11395502090454,NaN,0
2,96,80,3,4,0.5,3,96,3,1,NaN,0,3,0.200003147125244
2,6,78,1,2,0.8,1,6,4,1,2,1.4663360118866,NaN,0
2,6,76,2,4,0.5,1,NaN,5,1,1,0.794095039367676,3,0.392518997192383
1,6,,3,,0.5,3,6,4,1,4,0.762222051620483,3,0.408405065536499
2,80,350,1,3,0.8,2,NaN,5,1,1,0.381782054901123,3,0.639364004135132
1,104,,2,,0.5,2,104,3,1,3,0.857194185256958,3,0.582955837249756
2,98,346,1,2,0.8,1,98,3,1,NaN,0,3,1.04723596572876
2,104,80,2,3,0.8,3,80,2,1,2,1.48132586479187,2,1.17537307739258
1,78,,3,,0.8,3,78,2,1,2,1.49636888504028,3,1.2237708568573
