setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,subject,resp,respRT,conf,confRT
1,348,,2,,0.5,1,NaN,5,1,5,0,3,1.24730610847473
2,78,344,1,3,0.8,3,344,1,1,1,1.59711289405823,2,1.6254620552063
2,108,350,1,4,0.5,3,NaN,5,1,5,1.57521200180054,3,0.899456024169922
2,68,104,1,3,0.8,3,104,3,1,4,2.24555587768555,1,0.493695974349976
2,74,94,3,4,0.8,4,94,3,1,3,1.92380785942078,2,0.539753913879395
2,112,350,1,4,0.5,1,112,3,1,1,2.39788508415222,2,1.36596894264221
1,70,,4,,0.5,3,NaN,5,1,5,1.31996703147888,3,0.628351926803589
2,100,352,2,4,0.5,2,100,3,1,3,1.87829184532166,2,1.10239696502686
1,340,,1,,0.5,3,NaN,5,1,5,0,3,0.892934083938599
2,20,68,3,4,0.5,4,68,2,1,4,2.20678782463074,2,1.39868903160095
1,80,,2,,0.5,1,NaN,5,1,5,0,3,0.901012897491455
1,106,,3,,0.5,3,106,3,1,3,1.43135499954224,3,0.767060995101929
2,72,350,1,3,0.8,4,NaN,5,1,5,1.33365988731384,3,0.765607118606567
2,20,12,2,3,0.5,1,NaN,5,1,5,1.16740202903748,3,0.791370153427124
1,106,,1,,0.8,3,NaN,5,1,5,0.925580978393555,3,0.997694969177246
1,110,,4,,0.8,3,NaN,5,1,5,0.663891077041626,3,0.703776121139526
2,112,74,1,3,0.5,4,NaN,5,1,5,0.80608606338501,3,0.798066139221191
1,108,,4,,0.8,2,NaN,5,1,5,1.21604681015015,3,0.600239992141724
1,70,,2,,0.5,3,NaN,5,1,5,0.750409841537476,3,0.534535884857178
1,16,,4,,0.5,4,16,4,1,4,1.78456211090088,3,0.832480907440186
1,110,,3,,0.5,4,NaN,5,1,5,0.742876052856445,3,0.830720901489258
1,96,,1,,0.8,2,NaN,5,1,5,2.54502511024475,3,0.697044849395752
1,344,,2,,0.5,2,344,1,1,1,1.40713500976562,3,0.82326602935791
2,340,6,1,3,0.8,4,NaN,5,1,5,0,3,0.561330795288086
1,342,,2,,0.8,2,342,1,1,1,0.20475697517395,3,0.592792987823486
1,86,,2,,0.8,4,NaN,5,1,5,0,3,1.15439414978027
2,352,14,2,4,0.5,2,352,1,1,1,1.46042013168335,3,1.02464294433594
1,10,,2,,0.5,2,10,4,1,4,1.23485589027405,3,0.635111093521118
2,14,110,1,3,0.5,1,14,4,1,4,1.2128758430481,3,0.760982990264893
1,338,,4,,0.5,1,NaN,5,1,5,0,3,0.627072095870972
2,12,78,1,3,0.5,1,12,4,1,4,1.55720186233521,2,0.353371858596802
